Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
43,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,,4333.00 BTC,4333.00 BTC,0.00 BTC,48.0,Multiple Txs (Old),2025-11-14,Dormant,Unspent/Lost Keys?,Legacy (1...),
44,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,,4322.33 BTC,4322.33 BTC,0.00 BTC,41.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
45,1JCrPqogEKEpM9fuFQV7LpF9e8cgf3YZ8m,,4251.00 BTC,8501.99 BTC,4250.99 BTC,36.0,Multiple Txs (Old),2025-10-26,Spent/Active,Unknown,Legacy (1...),
46,124YoiaSaUssbBeP5RukbSN9Evc3UJfwPj,,4166.05 BTC,4166.05 BTC,0.00 BTC,4081.0,Multiple Txs (Old),2026-03-07,Dormant,Unspent/Lost Keys?,Legacy (1...),
47,1GX7i8jG8DD1mG85BNnz7xybVhSmw84Uii,,4108.80 BTC,4108.80 BTC,0.00 BTC,39.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
48,1N5NqDWiLVqtU8mEzCNEeEbQVHwuGGChJs,,4049.00 BTC,4049.00 BTC,0.00 BTC,45.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
49,1VeMPNgEtQGurwjW2WsYXQaw4boAX5k6S,,4000.10 BTC,4000.10 BTC,0.00 BTC,60.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
50,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,,4000.00 BTC,4000.00 BTC,0.00 BTC,40.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
51,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,,4000.00 BTC,4000.00 BTC,0.00 BTC,41.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
52,1GMFSWQQQhCQyRNQcac9tDKcvqYCuripVs,,3674.21 BTC,3674.21 BTC,0.00 BTC,36.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
53,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,,3600.00 BTC,3600.00 BTC,0.00 BTC,41.0,Multiple Txs (Old),2025-10-26,Dormant,Unspent/Lost Keys?,Legacy (1...),
54,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,wallet: 4222,3350.00 BTC,3750.00 BTC,400.00 BTC,49.0,Multiple Txs (Old),2026-02-14,Spent/Active,Likely Known/Exchange,Legacy (1...),
55,1Gn1GzVa88T1X3fdhejyq6jrZs43T24xW6,,3248.80 BTC,3248.80 BTC,0.00 BTC,35.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
56,1PTYXwamXXgQoAhDbmUf98rY2Pg1pYXhin,,0.00 BTC,0.00 BTC,0.00 BTC,37.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
57,16oKJMcUZkDbq2tXDr9Fm2HwgBAkJPquyU,,3214.52 BTC,3214.52 BTC,0.00 BTC,35.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
58,193zge613zys7eSkQYQVd9xubovLN8Sr6j,,3144.66 BTC,3144.66 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
59,1L9ipUywwErf9EaKCgLqrkoSM5ab3wrjvh,,3140.57 BTC,3140.57 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
60,1EgH7EUfgjr8gAK9t1BeHLDC1ijrVvdec3,wallet: 1891446,3081.59 BTC,3436.17 BTC,354.58 BTC,293.0,Multiple Txs (Old),2026-02-12,Spent/Active,Likely Known/Exchange,Legacy (1...),
61,18jGeboNHt1YpsDFcCeYPKm8qnAe9942BG,,3068.66 BTC,3068.66 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
62,19HhmfxGsznL8K7wXjZiFnhqddQucgfZzB,,3000.00 BTC,3000.00 BTC,0.00 BTC,45.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
63,15DtovKcGFiAJmyVfbjvCXHyjtyoZhyyj4,,3000.00 BTC,3000.00 BTC,0.00 BTC,36.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
64,1ArZGb5V24gAgN51FeQknobi6kNyGx739r,,3000.00 BTC,3000.00 BTC,0.00 BTC,35.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
65,1JjMoB212ctAiuDvURyWhs813yY4c75cap,,3000.00 BTC,3000.00 BTC,0.00 BTC,36.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
66,1FDVbVJYKkWPFcJEzCxi99vpKTYxEY3zdj,,3000.00 BTC,3000.00 BTC,0.00 BTC,36.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
67,1MBPNZb1Rakm8hYaP9VGqUU6gyJQUod61y,,3000.00 BTC,3000.00 BTC,0.00 BTC,25.0,2019-01-21,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
68,1GUNPhjykrBdET5sauhahRoN6Xb9pACs5j,,3000.00 BTC,3000.00 BTC,0.00 BTC,25.0,2018-11-05,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
69,1AGAvShyB22eUxz1DKfBBgGENDSZP8dcq9,,3000.00 BTC,3000.00 BTC,0.00 BTC,24.0,2017-08-22,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
70,1KpwMa1w9DTUCB5asCgUdLRA22hto1Qgqv,,2998.90 BTC,4505.56 BTC,1506.66 BTC,39.0,Multiple Txs (Old),2025-10-27,Spent/Active,Unknown,Legacy (1...),
71,1LQaq7LLoyjdfH3vczuusa17WsRokhsRvG,,2966.00 BTC,2966.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
72,15HiQkbvQMoAzXyKdQbuCKTGDxTswYBUf5,,2938.78 BTC,3008.78 BTC,69.99 BTC,31.0,Multiple Txs (Old),2025-10-27,Spent/Active,Unknown,Legacy (1...),
