Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
120,1ER3nEZFqXUkKw6AucHnmPxXnQQ8F6SJEG,,1969.00 BTC,1969.00 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
121,14CQ2jCrpsd1eSdC4zWsJZH9LvDr6GrCyo,,1957.55 BTC,1957.55 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
122,19rvEojniQQYqf4vGsvhPfiLMeYrag4gEe,,1925.42 BTC,4050.85 BTC,2125.42 BTC,29.0,Multiple Txs (Old),2025-10-28,Spent/Active,Unknown,Legacy (1...),
123,1C4H9GDALbjDVnbfTt4a9ML1XbwzLS1rUC,,1908.00 BTC,1908.00 BTC,0.00 BTC,28.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
124,15HDbh92juxL9NRW4sm8wo3hmDoc32vWNM,,1861.10 BTC,1861.10 BTC,0.00 BTC,20.0,2019-02-06,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
125,1FdPpELnjHfwSM4Nvi7LdYS4S4GVGsLUQY,wallet: 175811,1804.00 BTC,11116.23 BTC,9312.23 BTC,263.0,Multiple Txs (Old),2025-10-28,Spent/Active,Likely Known/Exchange,Legacy (1...),
126,13HVZCHH6ndYPGYLtwdk7bH5Bv2wGzv2wK,,1800.83 BTC,1800.83 BTC,0.00 BTC,23.0,2017-08-04,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
127,15vwE15F9Umu3aigWfFx7XKHQqVS6TyoZo,,1800.00 BTC,1800.00 BTC,0.00 BTC,25.0,2017-06-12,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
128,1Ek9Jj3Z3Bnipe3DnMq2otXG5iNjze66VR,,1799.24 BTC,1799.24 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
129,1Go1p98x7EpKmEFiYnr4qjX6PJyxdfweJV,,1769.00 BTC,1769.00 BTC,0.00 BTC,28.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
130,1DtFKiPdYD2U6XDZGtWK7q8JYVrDKBHBqE,,1766.00 BTC,1766.00 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
131,13FKHnREotr4jrjiSJwPUpecogVT7Rj7bu,wallet: 4222,1750.00 BTC,4097.00 BTC,2347.00 BTC,46.0,Multiple Txs (Old),2025-10-28,Spent/Active,Likely Known/Exchange,Legacy (1...),
132,15e8jdh1wKf3toj7yQWwuGNdMYyb6DTWE9,,1723.93 BTC,1723.93 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
133,12Eqq2YuTU5q5F7L1khsqMYzFfeU4xmjD2,,1700.00 BTC,1700.00 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
134,1BVMFfPXJy2TY1x6wm8gow3N5Amw4Etm5h,wallet: 1222,1698.25 BTC,31698.25 BTC,30000.00 BTC,38.0,Multiple Txs (Old),2025-10-28,Spent/Active,Likely Known/Exchange,Legacy (1...),
135,3BjNP5gL661VmHxyw7JKUok1yGtdFenxy2,,1665.62 BTC,1665.62 BTC,0.00 BTC,23.0,2019-01-15,2025-10-28,Dormant,Unspent/Lost Keys?,P2SH (3...),
136,1HDNfSr5ExyGfe77GX681PPZtN2deoewfd,,1662.42 BTC,37677.89 BTC,36015.47 BTC,86.0,Multiple Txs (Old),2025-10-28,Spent/Active,Unknown,Legacy (1...),
137,162W4Sv2kJzLuzuQ52nF2oXTyfWYMH4Pxw,,1639.62 BTC,1639.62 BTC,0.00 BTC,45.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
138,113324vM6NBar2q72w6iDCdQvPnPQw8Tvw,,1600.00 BTC,1600.00 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
139,1MmcSBpzNYeGgSfVNxXEoBdpmsCxyMUuWW,,1600.00 BTC,1600.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
140,3EPqytXCCcapxe8dy6yufzLm1LXX8xmaLM,,1594.30 BTC,1594.30 BTC,0.00 BTC,23.0,2018-10-19,2025-10-28,Dormant,Unspent/Lost Keys?,P2SH (3...),
141,1JNamaC2PE4woAk1vaoW46e5pxgdQkaKnc,,1592.00 BTC,1592.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
142,113fiz1m5ofgDnPueDXRXqyDMa8J3EirWZ,,1586.25 BTC,1586.25 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
143,1JqJHk69j15VAHdxUDD4hFPW8acZKoFGdS,,1558.31 BTC,1558.31 BTC,0.00 BTC,22.0,2017-08-04,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
144,1QEqQWSzrZfWsJ5Kxgh6BYnGJRjkYwMRmp,,1545.05 BTC,1545.05 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
145,1JKkR1fSQKY6qUGHdNrD9wzTavButq7AWp,,1526.11 BTC,1526.11 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
146,1J3St3rp3hVsuLGhegbLWicyPL3NRD3YJ7,,1523.15 BTC,1523.15 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
147,1khexYoq6fvMdKAww7dpdZb4WBPKBq2hb,,1518.00 BTC,1518.00 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
