Accessibility,Address,Analyzed,Balance,Balance_dormant,Current Balance,Label,Nonces_Checked,Potential_Weakness,Rank,Status,Total Received,Total Sent,Transactions,Type
,16oKJMcUZkDbq2tXDr9Fm2HwgBAkJPquyU,True,"3,215 BTC","3,215 BTC",,,False,High Analysis Priority (Lattice/Bias),57,,,,,
,193zge613zys7eSkQYQVd9xubovLN8Sr6j,True,"3,145 BTC","3,145 BTC",,,False,High Analysis Priority (Lattice/Bias),58,,,,,
,1L9ipUywwErf9EaKCgLqrkoSM5ab3wrjvh,True,"3,141 BTC","3,141 BTC",,,False,High Analysis Priority (Lattice/Bias),59,,,,,
,1EgH7EUfgjr8gAK9t1BeHLDC1ijrVvdec3,True,"3,082 BTC","3,082 BTC",,wallet: 1891446,False,High Analysis Priority (Lattice/Bias),60,,,,,
,18jGeboNHt1YpsDFcCeYPKm8qnAe9942BG,True,"3,069 BTC","3,069 BTC",,,False,High Analysis Priority (Lattice/Bias),61,,,,,
,19HhmfxGsznL8K7wXjZiFnhqddQucgfZzB,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),62,,,,,
,15DtovKcGFiAJmyVfbjvCXHyjtyoZhyyj4,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),63,,,,,
,1ArZGb5V24gAgN51FeQknobi6kNyGx739r,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),64,,,,,
,1JjMoB212ctAiuDvURyWhs813yY4c75cap,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),65,,,,,
,1FDVbVJYKkWPFcJEzCxi99vpKTYxEY3zdj,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),66,,,,,
,1MBPNZb1Rakm8hYaP9VGqUU6gyJQUod61y,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),67,,,,,
,1GUNPhjykrBdET5sauhahRoN6Xb9pACs5j,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),68,,,,,
,1AGAvShyB22eUxz1DKfBBgGENDSZP8dcq9,True,"3,000 BTC","3,000 BTC",,,False,High Analysis Priority (Lattice/Bias),69,,,,,
,1KpwMa1w9DTUCB5asCgUdLRA22hto1Qgqv,True,"2,999 BTC","2,999 BTC",,,False,High Analysis Priority (Lattice/Bias),70,,,,,
,1LQaq7LLoyjdfH3vczuusa17WsRokhsRvG,True,"2,966 BTC","2,966 BTC",,,False,High Analysis Priority (Lattice/Bias),71,,,,,
,15HiQkbvQMoAzXyKdQbuCKTGDxTswYBUf5,True,"2,939 BTC","2,939 BTC",,,False,High Analysis Priority (Lattice/Bias),72,,,,,
,1AenFm1zSRkhtPHwZmP2UuRQbWpakD8cVZ,True,"2,918 BTC","2,918 BTC",,,False,High Analysis Priority (Lattice/Bias),73,,,,,
,13KYdPnzGh5H8exFY3FhUo9Rvvs6kKAcL8,True,"2,800 BTC","2,800 BTC",,,False,High Analysis Priority (Lattice/Bias),74,,,,,
,1EUJKGm3FB65rr5W9anAEoWA3m71WpDayZ,True,"2,745 BTC","2,745 BTC",,,False,High Analysis Priority (Lattice/Bias),75,,,,,
,38gTej4KSrED7Ds9wTHJegErQSmSbF1Qfx,True,"2,669 BTC","2,669 BTC",,,False,High Analysis Priority (Lattice/Bias),76,,,,,
,18cKGtwdQHmnDXD6w6AhBhHsmxnK8gsVHf,True,"2,645 BTC","2,645 BTC",,,False,High Analysis Priority (Lattice/Bias),77,,,,,
,19DdkMxutkLGY67REFPLu51imfxG9CUJLD,True,"2,616 BTC","2,616 BTC",,,False,High Analysis Priority (Lattice/Bias),78,,,,,
,1BrSzBwx2RLuppgGziqgF7oMuneHQVhsNc,True,"2,600 BTC","2,600 BTC",,,False,High Analysis Priority (Lattice/Bias),79,,,,,
,17j45BXWrjSDttuurcSQubYLdLescJ7eJH,True,"2,585 BTC","2,585 BTC",,,False,High Analysis Priority (Lattice/Bias),80,,,,,
,1AjbEPKeyW4MCUpwb37Y1HR9uDQso67mQx,True,"2,510 BTC","2,510 BTC",,,False,High Analysis Priority (Lattice/Bias),81,,,,,
,1P6brDbYKsQGqRduaTMa1v8hBqJYjig4Qc,True,"2,510 BTC","2,510 BTC",,,False,High Analysis Priority (Lattice/Bias),82,,,,,
,1NT1jtYLNwFXLztD4U4B9sLizdYatirhWW,True,"2,500 BTC","2,500 BTC",,,False,High Analysis Priority (Lattice/Bias),83,,,,,
,12owkvCcMPw5u1M692GbBFmpaMdX3kqXQM,True,"2,500 BTC","2,500 BTC",,,False,High Analysis Priority (Lattice/Bias),84,,,,,
,1Kj6epyY2MdzZUCHE572jeV9n7DDRReaZJ,True,"2,407 BTC","2,407 BTC",,,False,High Analysis Priority (Lattice/Bias),85,,,,,
